RESULTADOS DEL ALGORITMO GENÉTICO
============================================================

Generación 122 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 123 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 124 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 125 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 126 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 127 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 128 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 129 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 130 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 131 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
